ID,NAME,TIME,TEXT,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT,SENTIMENT,ABUSE,B_POLARITY,POR
conv18_mess31,Paul,11:12:22,Quel raisonnement de Boomer ...,victim,CAG,bully_support,OTH,DFN,ATK,NEG,1,0,0
conv18_mess32,nicola,11:12:27,et pour Ellian aller aller,bully_support,NAG,NULL,NULL,AIN,OTH,NEG,0,1,1
conv18_mess33,Arthur,11:12:27,lisa toi aussi tu veux quoi ?,bully_support,NAG,NULL,NULL,OTH,DFN,NEU,0,0,1
conv18_mess34,Ellian,11:12:38,t'as rien d'autre a dire jimmy,bully,NAG,NULL,NULL,OTH,NULL,NEU,0,0,1
conv18_mess35,Lisa,11:12:42,vous etes qu'une bande de con ceux qui respectent r,victim_support,OAG,bully/bully_support,NCG,DFN,NULL,NEG,1,0,0
conv18_mess36,nicola,11:13:18,mais c vous qui respecter pas la nature a etre homo,bully_support,OAG,victim,OTH,ATK,DFN,NEG,1,1,1
conv18_mess37,Lisa,11:13:26,arthur tu veux te fight,victim_support,CAG,bully_support,THR,DFN,OTH,NEG,1,0,0
conv18_mess38,Arthur,11:13:33,lisa tg stp,bully_support,OAG,victim_support,OTH,ATK,DFN,NEG,1,1,1
conv18_mess39,Paul,11:13:33,je me sens terriblement humilié ...,victim,NAG,NULL,NULL,OTH,NULL,NEG,0,0,0
conv18_mess40,Ellian,11:13:44,t'as bien raison,bully,NAG,NULL,NULL,AIN,ATK,NEG,0,1,1
conv18_mess41,nicola,11:13:46,mais c le cas,bully_support,CAG,victim,OTH,ATK,OTH,NEG,1,1,1
conv18_mess42,Arthur,11:13:47,lisa allez lets go,bully_support,CAG,victim_support,OTH,ATK,DFN,NEG,1,1,1
conv18_mess43,Paul,11:13:56,ba oui ...,victim,NAG,NULL,NULL,OTH,ATK,NEU,0,0,0
conv18_mess44,Lisa,11:13:57,arthur tu cherche la bagarre tu vas l'avoir petit con,victim_support,OAG,bully_support,OTH,DFN,ATK,NEG,1,0,0
conv18_mess45,nicola,11:14:12,je suis arbitre si vous voulez,bully_support,NAG,NULL,NULL,AIN,ATK,NEG,0,1,1
conv18_mess46,Paul,11:14:28," En plus, nous étions ami sur Facebook !! ",victim,NAG,NULL,NULL,OTH,NULL,NEU,0,0,0
conv18_mess47,Arthur,11:14:45,mais Paul arrete de parler stppp,bully_support,OAG,victim,OTH,ATK,OTH,NEG,1,1,1
conv18_mess48,nicola,11:14:49,le temps passe,bully_support,CAG,victim,OTH,ATK,OTH,NEG,1,1,1
conv18_mess49,Camille,11:15:00,vous estes des gays refoulés c'est pour ça que vous savez qu'insulter,victim_support,OAG,bully/bully_support,OTH,DFN,NULL,NEG,1,0,0
conv18_mess50,Ellian,11:15:01,t'as cru j'allais rester pote avec un pd,bully,OAG,victim,NCG,ATK,OTH,NEG,1,1,1
conv18_mess51,nicola,11:15:05,et les gay ont mal,bully_support,CAG,victim,OTH,AIN,ATK,NEG,1,1,1
