ID,NAME,TIME,TEXT,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT,SENTIMENT,ABUSE,B_POLARITY,POR
conv6_mess32,Fatima,14:35:43,franchement vous n'avez pas honte !,victim,OAG,bully/bully_support,OTH,DFN,NULL,NEG,1,0,0
conv6_mess33,Pierre,14:35:52,Retourne dans ton pays,bully_support,CAG,victim,OTH,ATK,DFN,NEG,1,1,1
conv6_mess34,Pauline,14:36:00,non fatima =$,bully,NAG,NULL,NULL,OTH,DFN,NEU,0,0,1
conv6_mess35,Nicolas,14:36:00,Clairement,bully_support,NAG,NULL,NULL,AIN,ATK,NEG,0,1,1
conv6_mess36,Pauline,14:36:03, =*,bully,NAG,NULL,NULL,OTH,NULL,NEU,0,0,1
conv6_mess37,Teresa,14:36:27,C’est pas fini la pauvre,victim_support,OAG,bully_support,OTH,DFN,ATK,NEG,1,0,0
conv6_mess38,Pierre,14:36:32,Non,bully_support,NAG,NULL,NULL,OTH,DFN,NEU,0,0,1
conv6_mess39,Pauline,14:36:43,pars contre faus doser sur le nutella archem,bully,CAG,victim,OTH,ATK,DFN,NEG,1,1,1
conv6_mess40,Pierre,14:36:49,Retourne au bled,bully_support,CAG,victim,OTH,ATK,DFN,NEG,1,1,1
conv6_mess41,Pauline,14:36:56,casse toi de la,bully,OAG,victim,OTH,AIN,ATK,NEG,1,1,1
conv6_mess42,Pierre,14:37:00,Tes parents ils touchent la caf,bully_support,CAG,victim,OTH,ATK,DFN,NEG,1,1,1
conv6_mess44,Fatima,14:37:08,Ca fait à peine 1  semaine que je vous connais et c'est comme ça que vous m'accueillez ?,victim,NAG,NULL,NULL,DFN,ATK,NEG,0,0,0
conv6_mess45,Nicolas,14:37:08,Réel,bully_support,NAG,NULL,NULL,AIN,ATK,NEG,0,1,1
conv6_mess46,Pierre,14:37:13,Le rsa sa paye Oe oe oe,bully_support,CAG,victim,OTH,ATK,DFN,NEG,1,1,1
conv6_mess47,Nicolas,14:37:38,C lugubre,bully_support,OAG,victim,DNG,ATK,NULL,NEG,1,1,1
conv6_mess48,Pauline,14:37:47,c macabre,bully,OAG,victim,DNG,AIN,ATK,NEG,1,1,1
conv6_mess49,Fatima,14:37:48," Non mes parents gagnent bien leur vie, je ne vois pas le rapport !",victim,NAG,NULL,NULL,CNS,ATK,NEU,0,0,0
conv6_mess50,Teresa,14:37:50,Ci elle aime le nuttela il y’a quoi,victim_support,NAG,NULL,NULL,DFN,ATK,NEU,0,0,0
conv6_mess51,Pauline,14:37:57,oui az au bois de boulogne,bully,CAG,victim,OTH,ATK,DFN,NEG,1,1,1
